               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.068551,           0.0089986,                   0,              0.2159,             0.23113,              0.1422,            0.041258,            0.054365,           0.0036083,                   0,             0.07002,           0.0033311,           0.0033311
                   1,            0.055577,           0.0073212,                   0,             0.35679,             0.36818,             0.27281,            0.085492,            0.052442,           0.0031946,                   0,              0.0387,           0.0053449,           0.0053449
                   2,            0.054281,           0.0070191,                   0,             0.33275,             0.28107,             0.22699,            0.073303,            0.053441,           0.0033431,                   0,           0.0060609,           0.0060387,           0.0060387
                   3,             0.05286,           0.0067872,                   0,              0.3878,             0.38211,             0.33165,             0.11013,             0.05035,           0.0031561,                   0,             0.00406,             0.00406,             0.00406
                   4,             0.05195,           0.0066644,                   0,             0.42167,             0.38908,             0.36121,             0.11853,            0.050344,           0.0033009,                   0,             0.00406,             0.00406,             0.00406
